///Russian Translations Mods (3348967878)///
Rus_Translations-name|Перевод модов на русский
/// 3
Would you like me to read this pearl?|Хочешь, я прочту тебе эту жемчужину?
It has been recently written to.|Об этом недавно было написано.
/// 4
This pearl has been written to just now!|Эта жемчужина была написана только что!
/// 5
Let's see... A pearl...|Давай посмотрим... Жемчужина...
And this one is sharp! It was not long ago this data was written to it!|А эта — острая! Не так давно в неё были записаны данные!
///КОНЕЦ СООБЩЕНИЙ

///Reclaiming Entropy (3215860805)///
///reclaimingentropy-name|Reclaiming Entropy - A post-Saint world state
reclaimingentropy-description|WORK IN PROGRESS! See steamdescription.txt for more details :)
///Меню
THE MATRIARCH|МАТРИАРХ
The Matriarch|Матриарх
Matriarch|Матриарх
An ancient legend calls you to a familiar, faraway land<LINE>to establish a new home for your kind. With your three companions,<LINE>offspring and apprentices both, you will lead the future of your species.|Древняя легенда зовет тебя в знакомые и далекие земли,<LINE>чтобы основать новый дом для своего вида. Вместе с тремя своими спутниками,<LINE>потомками и учениками, ты возглавишь будущее своего вида.
///Название регионов
Aquifer Tunnels|Водоносные туннели
Melting Depths|Тающие глубины
Farflung Beach|Пляж Фарфлунг
The Undergrowth|Подлесок
Heart of the Jungle|Сердце джунглей
Gloomy Marshland|Мрачные болота
Crumpled Scaffolding|Помятые строительные леса
Pipegrave|Трубная могила
Desolate Canal|Пустынный канал
Luna|Луна
Rusted Basin|Ржавый бассейн
Sunlit Alleyways|Солнечные аллеи
Suburban Outpost|Пригородная застава
Smokestack Treetop|Верхушка древа над дымовыми трубами
The Stump|Пень
Nascent Woods|Зарождающийся лес
Fallen Spires|Упавшие шпили
Withstanding Factory|Устойчивый завод
The Matriarch|Матриарх
///Обучение
///AQ_BEACH2
Your children are also your comrades in your expedition.|Твои дети — твои товарищи по экспедиции.
They are less clumsy and more capable than other pups, but you can still carry them if you fear they won't be able to keep up.|Они менее неуклюжие и более способные, чем другие щенки, но ты всё равно можешь нести их, если боишься, что они не смогут угнаться за тобой.
///AQ_BEACH1
It is highly recommended to take the upper path in the next room, which continues the tutorial.|Настоятельно рекомендую пройти по верхнему пути в соседнюю комнату, которая является продолжением обучения.
///AQ_TUTORIAL1
Click on your young or their food indicator to select them. Then press the jump button to direct them to the location of the cursor.|Щелкни по щенку или индикатору его питания, чтобы выбрать его. Затем нажми кнопку прыжка, чтобы направить его к местоположению курсора.
They will stay at that location even if you move to a different room, and defend their position to the best of their ability.|Он останется в этом месте, даже если ты перейдёшь в другую комнату, и будет защищать эту позицию в меру своих возможностей.
///AQ_TUTORIAL2
To direct one of your young to follow you or to cancel an order, click on them (or their food indicator) and double-tap either jump, throw, or grab.|Чтобы приказать следовать за тобой или отменить приказ, нажми на него и дважды нажми прыгнуть, бросить или схватить.
Pressing the map and jump button at once will also recall your entire family, should you have multiple children staying at different points.|Одновременное нажатие карты и прыжка также вызовет всю твою семью, если у тебя несколько детей, находящихся в разных точках.
///AQ_TUTORIAL3
You can also press the throw button after selecting a pup to attack any creature at the location of the cursor.|Ты также можешь нажать кнопку броска после выбора щенка, чтобы атаковать любое существо в месте нахождения курсора.
They will pursue the target and attempt to kill them to the best of their ability.|Они будут преследовать цель и пытаться убить её в меру своих возможностей.
However, the strength of your family is in numbers.|Однако сила твоей семьи в численности.
Press the map and throw button at once and all of your children will attack the creature at the location of your cursor.|Нажми карту и кнопку броска одновременно, и все ваши дети атакуют существо в том месте, где находится твой курсор.
Recalling or cancelling attack orders works the same as how movement orders work.|Отзыв или отмена приказов на атаку работает так же, как и приказы на перемещение.
///AQ_TUTORIAL4
Select a pup and press the grab button to direct them to retrieve the item at the location of your cursor. They will then bring that item back to you.|Выбери щенка и нажми кнопку взять, чтобы направить его на получение предмета в месте, указанном твоим курсором. Затем он вернет тебе этот предмет.
If you double-pressed grab instead, and the object at the location of your cursor was edible, they would eat it as soon as they reached its location.|Если дважды нажать взять, и объект в месте нахождения твоего курсора съедобный, то они съедят его, как только достигнут его местоположения.
Your pups will also grab and consume any food they directly encounter when following you or being carried, but this option can be toggled off in remix settings.|Твои щенки также будут потреблять пищу, с которой они столкнутся, когда будут следовать за тобой, эту опцию можно отключить в настройках ремикса.
///КОНЕЦ СООБЩЕНИЙ

///Rivulets Outer Expanse (3338239924)///
rivuletouterexpanse-name|Расширение для Ручья
rivuletouterexpanse-description|Делает Внешнюю даль доступной для Ручья.
Fading Expanse|Затухающая даль
Sunken Pier|Затопленный причал
Facility Roots (Western Intake)|Основание установки (Западный вход)
Humid Fields|Влажные поля
The Rarefaction Cell item is now available in Sandbox Mode.|Ячейка массового разряжения теперь доступна в Песочнице.
///КОНЕЦ СООБЩЕНИЙ

///The BudGermination (3213500658)///
budgermination-name|Зарождение Ростка
budgermination-description|Слизнелис, который проделал долгий путь, выполняя тяжелую и смертельную миссию...
///Меню
THE BUDGERMINATION|ЗАРОЖДЕНИЕ РОСТКА
The BudGermination|Зарождение Ростка
BudGermination|Зарождение Ростка
You have come a long way, carrying a heavy and fatal mission.<LINE> Please ensure your own safety while helping others.<LINE> The only one who depends on you is waiting for your victorious return in the distance...|Вы прошли долгий путь, выполняя тяжелую и роковую миссию.<LINE>Пожалуйста, позаботьтесь о собственной безопасности, помогая другим.<LINE>Единственный, кто зависит от вас, ждет вашего победного возвращения вдали...
Despite being well aware of the dangers of the world, and despite realizing that all efforts may be in vain,<LINE> you still choose to embark on the adventure...|Несмотря на то, что вы хорошо осведомлены об опасностях окружающего мира и понимаете,<LINE>что все усилия могут оказаться напрасными, вы всё равно решаете отправиться в приключение...
///Ремикс
key to throw branch (Player|Кнопка для броска ветки (Игрок
enable slow time when using branch|Замедление времени при исп. ветки
craft branch cost food|Создание ветки требует очков еды
tentacle can grab any creatures|Ветка хватает любых существ
///КОНЕЦ СООБЩЕНИЙ

///The Castaway (3333707258)
pocky-raisin.bubblepup-name|Потерпевший
pocky-raisin.bubblepup-description|Исследуйте мир в роли Потерпевшего — полуводный, пускающий пузыри слизнекот из-за моря!
///Меню
THE CASTAWAY|ПОТЕРПЕВШИЙ
The Castaway|Потерпевший
Castaway|Потерпевший
A juvenile from beyond the sea, relying on wit and caution for survival.<LINE>Vunerable and far away from home, will you adapt to your circumstances, or reconnect with distant kin?|Юноша из-за моря, полагающийся в выживании на смекалку и осторожность.<LINE>Находясь вдали от дома, приспособитесь ли вы к своим обстоятельствам или воссоединитесь с дальними родственниками?
Now confident in exploring the world,<LINE>the Castaway returns to find their place in the food chain|Теперь, уверенно исследуя мир,<LINE>Потерпевший возвращается, чтобы найти своё место в пищевой цепочке.
///Миссии
Sightseeing|Экскурсия
///Обучение
Castaway Interactions:|Механики Потерпевшего:
Hold GRAB to blow a bubble / Destroy bubble shield / Refill bubble-weed|Удерживай «Взять» чтобы: надуть пузырь, разрушить щит, наполнить воздухом Пузырьковый сорняк
Press DOWN + JUMP + GRAB with some food to create a bubble shield|Нажми «Вниз», «Прыжок» и «Взять» при достаточном количестве еды, чтобы создать пузырьковый щит
You are starving, find food and shelter|Ты умираешь с голоду, найди еду и убежище
Hold GRAB with free hands to blow a bubble|Удерживай «Взять» свободными руками, чтобы надуть пузырь
With sufficient food, press DOWN, JUMP and GRAB together to create a bubble shield|При достаточном количестве еды нажми «Вниз», «Прыжок» и «Взять», чтобы создать пузырьковый щит
You cannot blow bubbles whilst shielded. Holding GRAB will destroy the shield|Ты не можешь пускать пузыри, находясь в щите. Удерживай «Взять», чтобы разрушить щит
Hold GRAB to fill shrivelled bubbleweed with air|Удерживай «Взять», чтобы наполнить воздухом Пузырьковый сорняк
///КОНЕЦ СООБЩЕНИЙ

///The Gravel-Eater (2964671523)///
kingmaxthe2.gravelslug-name|Камнеед
kingmaxthe2.gravelslug-description|Представляет нового слизнекота под названием Камнеед.
///Меню
THE GRAVEL-EATER|КАМНЕЕД
The Gravel-Eater|Камнеед
Gravel-Eater|Камнеед
Awoken from a deep slumber, and tragically stuck in a delicate equilibrium. <LINE> Given a chance at life, will normalcy ever be found? |Пробудившись от глубокого сна, вы трагически оказались в неустойчивом равновесии.<LINE>Если у вас будет шанс на жизнь, сможете ли вы когда-нибудь вернуться к нормальной жизни?
Seeking refuge from their delacate balance, The Gravel-Eater<LINE>strides foreward through the sizzling pain|Ища спасения от своего шаткого равновесия, Камнеед шагает вперед,<LINE>преодолевая постоянную боль.
Breath|Дыхание
///Название регионов
Fallen Cathedral|Разрушенный собор
Solventicon|Растворитель
The Fissure|Расщелина
Deep Reservoir|Глубокое водохранилище
Faulting Airducts|Неисправные воздуховоды
Sunbaked Archipelago|Выжженый архипелаг
There is a Lustful presence here, seek enlightenment little one|Здесь присутствует похотливое существо, ищи просветления, малыш
There is a |Здесь присутствует 
 presence here, seek enlightenment little one| существо, ищи просветления, малыш
Balance achieved|Баланс достигнут
///Обучение
You are starving, find rocks and other objects to consume.|Ты умираешь с голоду, найди камни или другие предметы, которые можно съесть.
While in the starved state, you have boosts in attacks and movement.|Находясь в голодном состоянии, ты получаешь больше возможностей для атак и передвижения.
Holding UP while swallowing or while an object is in your stomach may craft something new.|Удерживай «Вверх» во время глотания или пока какой-либо предмет находится у тебя в желудке, чтоюы создать что-то новое.
You are now nourished and full of gravel, lessening the pain within.|Теперь ты сыт и полон энергии, что уменьшает внутреннюю боль.
You are heavier and more durable in this state, you sink in water and can withstand some projectiles.|В таком состоянии ты тяжелее и выносливее, ты тонешь в воде и можешь выдержать некоторые снаряды.
You can spit out rocks and empty your stomach to reduce weight and return to the Malnourished state.|Ты можешь выплюнуть камни и опустошить желудок, чтобы снизить вес и вернуться к состоянию истощения.
///Галька
Little Experiment?|Маленький эксперимент?
Alone again...|Снова один...
Oh...|Ох...
///Галька
You should leave quickly before the rain crushes you.|Тебе следует побыстрее уходить, пока тебя не настиг дождь.
Quickly, find a shelter nearby. It will protect you from my rushing waters.|Быстрее найди убежище поблизости. Оно защитит тебя от моих бурлящих вод.
Please find some safety for yourself. I want to see you again.|Пожалуйста, найди для себя безопасное место. Я хочу увидеть тебя снова.
///Нейроны
///2
...Stars...|...Звёзды...
pretty|...хороши...
///3
...Night... coming... Soon...|...Ночь... приближается... Скоро...
///4
Night... You can stay. It will be fine.|Ночь... Ты можешь остаться. Всё будет хорошо.
///5
Night is coming. Now, leave me alone.|Приближается ночь. А теперь оставь меня в покое.
Take your offspring with you.|Не забудь детёныша.
Take your pet with you.|Не забудь питомца.
I think night is approaching.|Я думаю, приближается ночь.
You can stay if you like, <PlayerName>! It will be fine.<LINE>The stars are beautiful, somtimes it's hard to see them through the rain and snow..|Ты можешь остаться, если хочешь, <PlayerName>! Всё будет хорошо.<LINE>Звезды прекрасны, но иногда их трудно разглядеть сквозь дождь и снег...
Your family is welcome to stargaze too!|Твоя семья тоже может посмотреть на звёзды!
Your friend is welcome to stargaze too!|Твой друг тоже может посмотреть на звёзды!
///Сообщение Гальки
Oh, little experiment!|Ох, маленький эксперимент!
I... don't even know what to say.|Я... даже не знаю, что сказать.
Hm? You can understand me, can't you?|Хм? Ты ведь понимаешь меня, не так ли?
Some solution you were while in that vegetative state.|Некоторые решения ты принимал, находясь в вегетативном состоянии.
I tried so hard to wake you; you were my last hope.|Я так старался разбудить тебя, ты был моей последней надеждой.
But who am I to put such trust in a simple creature?|Но кто я такой, чтобы так доверять простому существу?
There is nothing you can do now, nothing left to save.|Сейчас ты ничего не можешь сделать, больше нечего спасать.
Though I would enjoy the company for a while longer before you move on, if you please.|Хотя я бы ещё немного насладился твоей компанией, прежде чем ты двиншься дальше, если позволишь.
///Сообщение Гальки
Hello again, little one.|Ещё раз здравствуй, малыш.
I bet you're wondering how it came to be that you are my creation.|Держу пари, тебе интересно, как получилось, что ты — моё творение.
I took note of the persistence and... annoyance... of your kind repeatedly entering the floor of my chamber.|Я обратил внимание на настойчивость и... раздражение... таких, как ты, постоянно появляющихся на полу моей комнаты.
No easy feat for just any creature, might I add.|Должен добавить, что это нелегкий подвиг для любого существа.
So, I deep-scanned one for myself to create a template and used the DNA scan to replicate my own.|Итак, я глубоко просканировал одного из них для себя, чтобы создать шаблон, и использовать отсканированное ДНК для создания своего собственного.
A method used by some of my old peers, you see...|Видишь ли, этот метод использовали некоторые мои бывшие коллеги...
You were the most promising iteration by far. A good balance between Void Fluid and enhanced regrowing tissue to counteract.|Ты был самой многообещающей итерацией на сегодняшний день. Хороший баланс между Пустотной жидкостью и усиленной регенерацией тканей для противодействия.
However, your brain activity was minimal, and any stimulus I could apply was ineffective.|Однако активность твоего мозга была минимальной, и любой стимул, который я мог применить, был неэффективен.
I'm almost certain I would have been able to wake you if my equipment had been in a better state.|Я почти уверен, что смог бы разбудить тебя, если бы моё оборудование было в лучшем состоянии.
I lost contact with that sector soon after, however...|Однако вскоре после этого я потерял связь с этим сектором...
I guess the cryo chamber held up even after I collapsed, which is quite the surprise.|Я думаю, криокамера работала даже после того, как я потерял сознание, что меня немало удивило.
Well... Welcome to the waking, rotting world.|Хорошо... Добро пожаловать в пробуждающийся, гниющий мир.
///Рандомные сообщения Гальки
///1
Why is it that you return?|Почему ты возвращаешься?
There is nothing here for you.|Здесь для тебя ничего нет.
Though it is nice having someone to talk to.|Хотя приятно, когда есть с кем поговорить.
Being alone with your own thoughts can drive you mad.|Пребывание наедине со своими собственными мыслями может свести тебя с ума.
I compute several complex processes at once to distract myself.|Я вычисляю сразу несколько сложных процессов, чтобы отвлечься.
That and this hymn that the ancients used to play...|Это и ещё этот гимн, который играли древние...
Even if it's not much, thank you for listening to me.|Даже если это не так уж много, спасибо, что выслушал меня.
///2
It has become noticeably colder as of late.|В последнее время стало заметно холоднее.
You should go west where it is warmer.|Тебе следует отправиться на запад, где теплее.
You might even find more beings similar to yourself.|Возможно, ты даже найдёшь больше существ, похожих на тебя.
Was... that a glint of emotion?|Было ли это... проявлением эмоций?
Guess I finally cracked the code to that poker face.|Похоже, я наконец-то разгадал код этого бесстрастного лица.
///3
Little experiment. Hello.|Маленький эксперимент. Привет.
That scan I took was near perfect, no abnormalities.|То сканирование, которое я сделал, было почти идеальным, никаких отклонений.
Plenty of room to work with.|Достаточно места для работы.
The organisms I made had inherited a few colors that strayed from the expected white tone.|Созданные мной организмы унаследовали несколько цветов, которые отличались от ожидаемого белого тона.
If it wasn't white, it was usually yellow.|Если он не был белым, то обычно был желтым.
But you, continuing to be an oddity, turned out to be a blue shade.|Но ты, продолжая оставаться странностью, оказался голубого оттенка.
Must have been a recessive trait.|Должно быть, это был рецессивный признак.
///4
Nice to see that you are in good health.|Приятно видеть, что ты в добром здравии.
Or... at least in an alive way.|Или... по крайней мере, в живом смысле.
Though I imagine true death would be preferred to constant dissolving of your flesh.|Хотя, я полагаю, настоящая смерть была бы предпочтительнее постоянного истребления твоей плоти.
That void fluid in your stomach is problematic if not tended to, as I'm sure you are already aware.|Я уверен, что ты уже знаешь, что Пустотная жидкости в твоём желудке создает проблемы, если за ним не ухаживать.
The sheer fact you are alive means that you have found a sustainable solution.|Сам факт того, что ты жив, означает, что ты нашёл надёжное решение.
Or a way to temporarily stave off the pain.|Или способ временно унять боль.
You creatures always seem to find a way...|Вы, существа, кажется, всегда находите выход...
///5
Thank you for the company.|Спасибо тебе за компанию.
I've been alone since my collapse.|Я был один с тех пор, как потерял сознание.
I treasured the time I had with my close neighbor, Moon.|Я дорожил временем, проведённым с моей близкой соседкой Луной.
Big sis...|Старшей сестрой...
Say hello for me if you visit her, if you haven't already.|Передавай от меня привет, если будешь навещать её, если ещё этого не сделал.
She's not in much better condition than I am.|Она не в лучшем состоянии, чем я.
///Обидеть Гальку
Why have you taken all i have?|Почему ты забрал всё, что у меня есть?
Give it to me.|Отдай её мне.
Please bring it back to me.|Пожалуйста, верни её мне.
Go away|Уходи
I have not forgotten the pain you have given me.|Я не забыл ту боль, которую ты мне причинил.
I have so little left. Why is it that you hurt me?|Мне так мало осталось. Почему ты причиняешь мне боль?
Please leave me alone.|Пожалуйста, оставь меня в покое.
///Луна предметы
///Описание камня
It's a rock. Unfortunately, I don't have any tea to go along with your unorthidox diet unfortunately.|Это камень. К сожалению, у меня нет чая, который мог бы дополнить твою неортодоксальную диету.
///Описание копья
It's a piece of sharpened rebar... You seem capable of consuming it.<LINE>Careful not to hurt yourself by attempting to do so!|Это кусок заострённой арматуры... Кажется, ты способен проглотить её. Осторожно, не поранься, пытаясь это сделать!
///Описание MoonCloak///
Is this... Void Fluid? On a weapon like this would prove to be deadly.<LINE>Clever use of your condition little one!|Это... Пустотная жидкость? Такое оружие может оказаться смертельно опасным. Умело используй своё состояние, малыш!
///КОНЕЦ СООБЩЕНИЙ

///The Outsider (2961788239)///
Outsider|Аутсайдер
Quaeledy.outsider-name|Аутсайдер
Quaeledy.outsider-description|[ ТЕПЕРЬ У ВАС ЕСТЬ МЕНЮ РЕМИКСА! ]<LINE>[ Требуется дополнение, в противном случае это может привести к вылету игры. ]<LINE>Аутсайдер — это чрезмерно броский слизнекот, или, скорее, дальний родственник слизнекота. Он обладает генами крылатых насекомых, что позволяет ему приобретать биологическую флуоресценцию и способность к полету, но также делает споровую пыльцу смертельной для него.
///Меню
THE OUTSIDER|АУТСАЙДЕР
The Outsider|Аутсайдер
Outsider|Аутсайдер
A quick and light vegetarian animal that have bioluminescence and short-time flight ability.<LINE>With amazing vigilance and flexible skills, it seeks a foothold in this dark foreign land.|Быстрое и легкое животное-вегетарианец, обладающее биолюминесценцией и способностью к кратковременному полету.<LINE>Обладая удивительной бдительностью и гибкими навыками, оно стремится закрепиться на этой темной чужой земле.
Antennae|Усики
LepidoticWing|Чешуйки
Speckles|Крапинки
FlaringLight|Вспыхивающий свет
///Название регионов
Auroral Mercury|Сияющий Меркурий
Dark Loam|Тёмный суглинок
Degenerate Cathedral|Дегенеративный собор
Dry Ditch|Высохший канал
Discontinued Factories|Остановленный завод
Dust Wasteland|Пыльная пустошь
///Обучение
While in the air, tap jump to flutter.|Находясь в воздухе, нажми «Прыжок», чтобы начать порхать.
While stand on the ground, Tap jump and pick-up together to flare at the cost of consuming food.|Стоя на земле, нажми «Прыжок» и «Взять» вместе, чтобы вспыхнуть ценой потребления пищи.
You have a wider range of vegetarian diet, including those explosive red grasses.|У тебя есть более широкий выбор вегетарианской диеты, включая эти взрывоопасные красные травы.
[Please do not see echoes in the first rain cycle. This will prevent your game from being saved.]|[Пожалуйста, не ходи к эхо в первом цикле. Это предотвратит сохранение твоей игры.]
///Сообщения Гальки
...How long... has it been...|...Как давно... сколько времени прошло?...
...Get out... of here...|...Убирайся... отсюда...
...It is... brighter... today.|...Сегодня... светлее....
...Why....|...Почему?....
...No...|...Нет...
...Stop...|...Остановись...
...Please...|...Пожалуйста...
A ...|A...
...Go away...|...Уходи...
...Not forgotten pain...|...Не забытая боль...
...So little... left. Why hurt... me more...|...Так мало... уходи. Зачем причинять боль... мне ещё больше...
...Leave me... alone.|...Оставь меня... в покое.
...Why back?|...Почему вернулся?
...Nice to see...|..Приятно видеть..
...Thank you... for... company.|...Спасибо тебе... за... компанию.
///Сообщение луны
Hello, little creature.|Привет, маленькое создание.
You seem to have met one of us before.|Кажется, ты уже встречался с одним из нас раньше.
From your peculiar appearance, I guess you probably come from a distant place. What brought you here?|Судя по твоей необычной внешности, ты, вероятно, пришёл издалека. Что привело тебя сюда?
Did you lose contact with your companions during your migration? I haven't seen your ethnic group. I haven't even seen your distant relatives for a long time.|Ты потерял связь со своими товарищами во время миграции? Я не видела твою этническую группу.<LINE>Я долгое время не видела даже твоих дальних родственников.
I'm sorry, no matter what you want, I can't help you.|Мне очень жаль, но, чего бы ты ни хотел, я ничем не могу тебе помочь.
Our era is about to pass. The old world is coming to an end. It's not advisable to stay here for a long time. You'd better leave here as soon as possible.|Наша эпоха подходит к концу. Старому миру приходит конец.<LINE>Не рекомендую оставаться здесь надолго. Тебе лучше уйти отсюда как можно скорее.
///Ремикс
///Удобства
Capacity|Удобства
These options mainly exist for the gaming experience.|Эти опции существуют в основном для удобства игры.
Flight Does not Consume Food|Полет не требует употребления пищи
Immune Spore Cloud|Облако иммунных спор
Disable Flare|Отключить вспышку
Set a Key Code to Fly|Установить клавишу для полёта
Set a Key Code to Flare|Установить клавишу для вспышки
///Внешний вид
Appearance|Внешний вид
These options mainly exist to dress up your slugcat.|Эти опции существуют для того, чтобы нарядить вашего слизнекота.
Hide the Flaring Light|Спрятать вспыхивающий свет
Hide the Swallow Tail|Спрятать хвост
Hide the Antennae|Спрятать усики
Hide the Speckles|Спрятать крапинки
Hide the Wing all the time|Спрятать крылья на всё время
Hide the Wing when it is folded|Спрятать крылья, когда они сложены
Replacing Wings with Hands (Chiroptera)|Замена рук на крылья с руками (Рукокрылые)
///КОНЕЦ СООБЩЕНИЙ

///The Seer (3393904120)///
myr.seer-name|Провидец
myr.seer-description|Страстный исследователь, изменившийся после его последнего путешествия.
THE SEER|ПРОВИДЕЦ
The Seer|Провидец
Seer|Провидец
A brave explorer that has seen far and wide. Your last venture changed you.<LINE>You will have to retune yourself to the spiritual world if you want to keep going forward.|Отважный исследователь, повидавший многое. Ваше последнее путешествие изменило вас.<LINE>Вам придется перенастроить себя на духовный мир, если вы хотите продолжать двигаться вперед.
Locations of undiscovered shelters are always visible on your map.|Расположение неоткрытых убежищ всегда видно на вашей карте.
///КОНЕЦ СООБЩЕНИЙ
///Нейроны Луна
Ah... <PlayerName>, a neuron from Chasing Wind?|Ах... <PlayerName>, нейрон от В-Погоне-за-Ветром?
Hello|Привет
///Нейроны Луна
///2
Get... get away... glowy...yellow.... thing.|Убирайся... убирайся... светящаяся...жёлтая.... штука.
///3
...you ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me...|...ты съел... меня. Прошу, уйди. Я не буду говорить... с тобой.<LINE>Я... НЕ МОГУ говорить... потому что... ты съел... меня...
///4
Oh so you've returned.|Ох, так ты вернулся.
Come to take more from me? My memories, my thoughts... just something to fill your stomach?|Пришёл, чтобы забрать у меня ещё больше? Мои воспоминания, мои мысли... просто что-то, чтобы набить себе желудок?
Your predecessor was definitely more polite!|Твой предшественник определенно был более вежливым!
No... never mind.|Нет... Не бери в голову.
It's useless to be angry at an animal following its instincts. Once, a single neuron meant nothing to me...|Бесполезно злиться на животное, которое следует своим инстинктам. Когда-то один-единственный нейрон ничего для меня не значил...
I do wonder where you got that mark. Definitely not from around here.|Интересно, откуда у тебя эта отметина. Определённо, не отсюда.
My neighbor, Five Pebbles, have become completely unresponsive.|Мой сосед, Пять Галек, совершенно перестал реагировать.
His can is showing increasing signs of decay with each passing cycle.|С каждым проходящим циклом его банка демонстрирует всё больше признаков разложения.
At least the frequent outbursts of water have stabilized, but I'm not sure if this is a great indicator of his health.|По крайней мере, частые приливы воды стабилизировались, но я не уверена, что это отличный показатель его здоровья.
I'm still angry at you, but it is good to have someone to talk to after all this time.|Я ещё злюсь на тебя, но всё же неплохо наконец иметь хоть какого-то собеседника.
///5
Hello, little creature!|Привет, маленькое создание!
You came back!|Ты вернулся!
What brings you here?|Что привело тебя сюда?
I haven't received any visitors of your kind in a long time!|У меня уже давно не было посетителей подобного рода!
The last one was very brave, but you probably are too to have come this far.|Последний был очень храбрый, но ты, наверное, тоже храбрый, раз зашёл так далеко.
My neighbor, Five Pebbles, has become completely unresponsive.|Мой сосед, Пять Галек, совершенно перестал реагировать.
This lull seems to have brought new life to this land. I would stay careful if I was you.|Похоже, это затишье вдохнуло новую жизнь в эту землю. На твоём месте я бы была осторожнее.
///Нейроны Луна
///4
///Dislikes
Oh. You.|Ох. Ты.
///Likes
Oh, hello! It's you again!|Ох, привет! Это снова ты!
Oh, hello! It's you again.|Ох, привет! Это снова ты.
I appreciate the company, but I'm afraid I can't really help you in any way.|Я ценю твою компанию, но, боюсь, ничем не могу тебе помочь.
///Dislikes
Eating one of my neuron definitely didn't help!<LINE>But I forgive you.|Поедание одного из моих нейронов определённо не помогло!<LINE>Но я тебя прощаю.
I will continue following you around with my overseer, but stay cautious.|Я продолжу следить за тобой со своим наблюдателем, но будь осторожен.
///5
///Dislikes
You look like you're used to the world outside though.<LINE>You must have seen a lot.|Но ты выглядишь так, будто привык к внешнему миру.<LINE>Должно быть, ты многое повидал.
///Likes
Good luck. You and your family are always welcome here.|Удачи. Тебе и твоей семье здесь всегда рады.
Good luck to you and your friend, <PlayerName>.|Удачи тебе и твоему другу, <PlayerName>.
Good luck. You can stay here a while if you want, but don't get caught in the rain!|Удачи. Если хочешь, можешь остаться здесь ненадолго, но не попади под дождь!
///Нейроны Луна
///2
...you...killed...|...Ты... убил...
///4
Where does this neuron come from? My nearest functional neighbor is so... far.|Откуда взялся этот нейрон? Мой ближайший функциональный сосед находится так... далеко.
I am grateful - the relief is indescribable!|Я благодарна: облегчение неописуемо!
///5
I could read a bit of Chasing Wind in this neuron before formatting it.<LINE>What a weird bundle of ideas this neuron was carrying. I don't think I understood any of it.|Перед форматированием нейрона я смогла прочитать немного данных В-Погоне-за-Ветром.<LINE>Какой странный набор идей нёс в себе этот нейрон. Не думаю, что я что-то из этого поняла.
We were supposed to help everyone, you know. Everything.<LINE>That was our purpose: a great gift to the lesser beings of the world.<LINE>When facing our inability to do so, we all reacted differently.<LINE>Many with madness.|Знаешь, мы ведь должны были помочь всем. Всему. Мы были великим даром низшим существам этого мира.<LINE>Оказавшись лицом к лицу с собственной беспомощностью, все мы реагировали по-разному. Многие потеряли рассудок.
Some, out there, might still be trying.<LINE>Communications have been bad for a long time, and by now I suspect most of us are isolated like me, or connected only in small groups.|Может, некоторые ещё пытаются кому-то помочь.<LINE>Связь уже давно нарушена — подозреваю, что большинство из нас сейчас в полной изоляции, как и я, или общаются маленькими группами.
But even back when we were all more or less connected there were those who reacted to their task with anger.<LINE>I can only imagine they are angrier now, alone in their cans, left only with their insatiable drive.|Но даже раньше, когда мы ещё не были разобщены, некоторых раздражали наши обязанности.<LINE>Думаю, теперь они в ярости. Заперты в своих коробках наедине с непреодолимым желанием выбраться.
But to be honest, I don't know how many of us are still alive at this point.<LINE>Knowing Grey Wind is still out here is reassuring though.|Но, если честно, я понятия не имею, сколько из нас всё ещё живы.<LINE>Хотя знание того, что Серый Ветер всё ещё здесь, вселяет уверенность.
///Нейрон
You brought these all the way from Chasing Wind?<LINE>Thank you so much.|Ты принёс его из В-Погоне-за-Ветром?
I deeply appreciate your efforts.|Я глубоко ценю твои усилия.
I hope they don't mind.<LINE>I have no way of knowing their current state.<LINE>...<LINE>Thank you, little creature.|Надеюсь, он не против.<LINE>Я никак не могу узнать, в каком он сейчас состоянии.<LINE>...<LINE>Спасибо тебе, маленькое создание.
